OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9110,N14,N186,Perungudi,Seevaram,OMR Road Seevaram,S_W186_010,12.953243,80.242079,80.2420789,12.9532426,Full
9111,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_001,12.958506,80.240395,80.2403947,12.9585055,Full
9112,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_001,12.958504,80.240384,80.2403843,12.9585042,Empty
9113,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_002,12.958485,80.240391,80.2403913,12.9584846,Full
9114,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_003,12.958376,80.240379,80.2403787,12.9583763,Full
9115,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_004,12.960247,80.240563,80.2405629,12.9602473,Full
9116,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_005,12.960228,80.240583,80.2405831,12.9602278,Full
9117,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_006,12.960224,80.24057,80.2405704,12.9602235,Half Full
9118,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_007,12.961116,80.240868,80.2408682,12.9611164,Full
9119,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_008,12.961084,80.240884,80.2408837,12.9610844,Full
9120,N14,N186,Perungudi,Perungudi,Panchayat Main Salai,S_W186_009,12.956416,80.240124,80.240124,12.9564157,Full
9121,N14,N186,Perungudi,Rajiv Nagar 1st Main Road,Rajiv Nagar 1st Main Road,S_W186_001,12.958412,80.237691,80.2376912,12.9584118,Full
9122,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 3rd Cross Street,S_W186_001,12.960989,80.241992,80.2419916,12.960989,Empty
9123,N14,N186,Perungudi,Veeravanchinathan 1st Street,Veeravanchinathan 1st Street,S_W186_001,12.958311,80.241306,80.2413064,12.958311,Empty
9124,N14,N186,Perungudi,Veeravanchinathan 1st Street,Veeravanchinathan 1st Street,S_W186_002,12.958291,80.241327,80.2413268,12.9582909,Full
9125,N14,N186,Perungudi,Seevaram,Corporation Cross Street,S_W186_001,12.955073,80.237126,80.2371258,12.9550726,Half Full
9126,N14,N186,Perungudi,Kamaraj Nagar,Kamaraj Nagar 2nd Main Road,S_W186_001,12.965399,80.236022,80.236022,12.9653986,Full
9127,N14,N187,MADIPAKKAM,ADHI SANKARAN STREET,ADHI SANKARAN STREET,S_W187_001,12.96638,80.194482,80.1944821,12.9663804,Full
9128,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  12TH STREET,S_W187_001,12.960146,80.193467,80.1934669,12.9601457,Empty
9129,N14,N187,MADIPAKKAM,BAJANAI KOIL STREET,BAJANAI KOIL STREET,S_W187_001,12.962836,80.198121,80.1981212,12.9628359,Half Full
9130,N14,N187,MADIPAKKAM,BAJANAI KOIL STREET,BAJANAI KOIL STREET,S_W187_002,12.962482,80.197953,80.1979528,12.9624819,Full
9131,N14,N187,MADIPAKKAM,VEMBULIAMMAN KOIL STREET,VEMBULIAMMAN KOIL STREET,S_W187_001,12.961782,80.196479,80.1964786,12.9617822,Full
9132,N14,N187,MADIPAKKAM,VEMBULIAMMAN KOIL STREET,VEMBULIAMMAN KOIL STREET,S_W187_002,12.961801,80.196507,80.1965068,12.9618014,Empty
9133,N14,N187,MADIPAKKAM,VEMBULIAMMAN KOIL STREET,VEMBULIAMMAN KOIL STREET,S_W187_003,12.961817,80.196492,80.1964919,12.9618173,Full
9134,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  3RD STREET,S_W187_001,12.963768,80.194393,80.1943929,12.9637683,Full
9135,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  3RD STREET,S_W187_002,12.963469,80.195248,80.1952483,12.9634687,Half Full
9136,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  3RD STREET,S_W187_003,12.963479,80.19528,80.1952803,12.9634788,Half Full
9137,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  11TH STREET,S_W187_001,12.960798,80.194239,80.1942395,12.9607985,Half Full
9138,N14,N187,MADIPAKKAM,SABARI SALAI,SABARI SALAI,S_W187_001,12.965157,80.192851,80.1928505,12.9651565,Empty
9139,N14,N187,MADIPAKKAM,SABARI SALAI,SABARI SALAI,S_W187_002,12.965124,80.193618,80.1936177,12.9651236,Full
9140,N14,N187,MADIPAKKAM,KARTHIKEYAPURAM,KARTHIKEYAPURAM  6TH STREET,S_W187_001,12.962558,80.1939,80.1939005,12.9625579,Full
9141,N14,N187,MADIPAKKAM,BHUVANESWARI STREET,BHUVANESWARI STREET,S_W187_001,12.966919,80.194616,80.1946161,12.9669193,Full
9142,N14,N187,MADIPAKKAM,VENKATESAPERUMAL 1ST STREET,VENKATESAPERUMAL 1ST STREET,S_W187_001,12.966131,80.190614,80.1906139,12.9661313,Half Full
9143,N14,N187,MADIPAKKAM,MADIPAKKAM MAIN ROAD,MADIPAKKAM MAIN ROAD,S_W187_001,12.96731,80.194525,80.1945249,12.9673097,Empty
9144,N14,N187,MADIPAKKAM,MADIPAKKAM MAIN ROAD,MADIPAKKAM MAIN ROAD,S_W187_002,12.967554,80.194103,80.1941029,12.9675537,Half Full
